,Title,Rating,Metascore,No Votes,Url,Description
0,Home Alone,7.7,63,624185,https://www.imdb.com/title/tt0099785/?ref_=sr_t_1,"An eight-year-old troublemaker, mistakenly left home alone, must defend his home against a pair of burglars on Christmas eve."
1,How the Grinch Stole Christmas,6.3,46,277738,https://www.imdb.com/title/tt0170016/?ref_=sr_t_2,"On the outskirts of Whoville lives a green, revenge-seeking Grinch who plans to ruin Christmas for all of the citizens of the town."
2,Mad Max: Fury Road,8.1,90,1060400,https://www.imdb.com/title/tt1392190/?ref_=sr_t_3,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper and a drifter named Max."
3,The Polar Express,6.6,61,231220,https://www.imdb.com/title/tt0338348/?ref_=sr_t_4,"On Christmas Eve, a young boy embarks on a magical adventure to the North Pole on the Polar Express, while learning about friendship, bravery, and the spirit of Christmas."
4,Interstellar,8.7,74,2023131,https://www.imdb.com/title/tt0816692/?ref_=sr_t_5,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans."
5,Harry Potter and the Sorcerer's Stone,7.6,65,836439,https://www.imdb.com/title/tt0241527/?ref_=sr_t_6,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world."
6,The Shawshank Redemption,9.3,82,2828678,https://www.imdb.com/title/tt0111161/?ref_=sr_t_7,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion."
7,Gladiator,8.5,67,1581887,https://www.imdb.com/title/tt0172495/?ref_=sr_t_8,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
8,The Wolf of Wall Street,8.2,75,1534440,https://www.imdb.com/title/tt0993846/?ref_=sr_t_9,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
9,Charlie and the Chocolate Factory,6.7,72,512505,https://www.imdb.com/title/tt0367594/?ref_=sr_t_10,"A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker."
10,Klaus,8.2,65,176621,https://www.imdb.com/title/tt4729430/?ref_=sr_t_11,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions."
11,The Dark Knight,9.0,84,2810042,https://www.imdb.com/title/tt0468569/?ref_=sr_t_12,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
12,Prometheus,7.0,64,634532,https://www.imdb.com/title/tt1446714/?ref_=sr_t_13,"Following clues to the origin of mankind, a team finds a structure on a distant moon, but they soon realize they are not alone."
13,Titanic,7.9,75,1256425,https://www.imdb.com/title/tt0120338/?ref_=sr_t_14,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic."
14,The Lord of the Rings: The Fellowship of the Ring,8.8,92,1963737,https://www.imdb.com/title/tt0120737/?ref_=sr_t_15,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
15,Blade Runner 2049,8.0,81,635901,https://www.imdb.com/title/tt1856101/?ref_=sr_t_16,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years."
16,Fight Club,8.8,67,2264206,https://www.imdb.com/title/tt0137523/?ref_=sr_t_17,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
17,Fargo,8.1,86,710398,https://www.imdb.com/title/tt0116282/?ref_=sr_t_18,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.
18,Pulp Fiction,8.9,95,2168897,https://www.imdb.com/title/tt0110912/?ref_=sr_t_19,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
19,Inception,8.8,74,2494427,https://www.imdb.com/title/tt1375666/?ref_=sr_t_20,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
20,L.A,8.2,91,606481,https://www.imdb.com/title/tt0119488/?ref_=sr_t_21,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice."
21,Black Swan,8.0,79,807889,https://www.imdb.com/title/tt0947798/?ref_=sr_t_22,"Nina is a talented but unstable ballerina on the verge of stardom. Pushed to the breaking point by her artistic director and a seductive rival, Nina's grip on reality slips, plunging her into a waking nightmare."
22,Inglourious Basterds,8.4,69,1544470,https://www.imdb.com/title/tt0361748/?ref_=sr_t_23,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
23,Django Unchained,8.5,81,1655351,https://www.imdb.com/title/tt1853728/?ref_=sr_t_24,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi."
24,Whiplash,8.5,89,950685,https://www.imdb.com/title/tt2582802/?ref_=sr_t_25,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
25,Once Upon a Time in Hollywood,7.6,83,813224,https://www.imdb.com/title/tt7131622/?ref_=sr_t_26,A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.
26,The Nightmare Before Christmas,7.9,82,367715,https://www.imdb.com/title/tt0107688/?ref_=sr_t_27,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion."
27,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.9,75,419469,https://www.imdb.com/title/tt0363771/?ref_=sr_t_28,Four kids travel through a wardrobe to the land of Narnia and learn of their destiny to free it with the guidance of a mystical lion.
28,Goodfellas,8.7,92,1229381,https://www.imdb.com/title/tt0099685/?ref_=sr_t_29,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito."
29,Requiem for a Dream,8.3,71,883016,https://www.imdb.com/title/tt0180093/?ref_=sr_t_30,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.
